Id,Nombre,CostoUnitario,Iva
2290,Máquina de afeitar eléctrica,5065610,0.19
1065,Batería externa,8545073,0.19
2627,Monitor de computadora,5718629,0.19
1303,Dron,8531753,0.19
164,Altavoces Bluetooth,8456853,0.19
73,Cargador inalámbrico,4786852,0.19
1428,Auriculares inalámbricos,8760178,0.19
2932,Ratón óptico,7723377,0.19
758,Tablet,4176516,0.19
2048,Videocámara,6804661,0.19
256,Kit de realidad virtual (VR),519727,0.19
2394,Sistema de sonido envolvente,4454548,0.19
393,Consola de videojuegos,2201575,0.19
405,Plancha de ropa con vapor,8196130,0.19
871,Teclado mecánico,5051308,0.19
2776,Cargador inalámbrico,7986052,0.19
2106,Televisor,5471155,0.19
2463,Proyector,9522023,0.19
2807,Laptop,7644473,0.19
1889,Batería externa,1554974,0.19
1227,Kit de realidad virtual (VR),580486,0.19
1540,Tableta gráfica,3423559,0.19
2890,Videocámara,8786303,0.19
1369,Máquina de afeitar eléctrica,2687535,0.19
1817,Auriculares inalámbricos,1059064,0.19
1532,Router inalámbrico,2428448,0.19
1619,Cargador inalámbrico,8671319,0.19
2353,Consola de videojuegos,2041134,0.19
2684,Termostato inteligente,6927941,0.19
2654,Reloj inteligente para deportes,3332843,0.19
2350,Máquina de afeitar eléctrica,4615110,0.19
2254,Videocámara,6488311,0.19
2403,Dron,8007557,0.19
2935,Batería externa,9582888,0.19
2370,Monitor de computadora,7528120,0.19
929,Dron,990909,0.19
24,Linterna LED,2358421,0.19
2216,Linterna LED,6039437,0.19
745,Proyector,7428993,0.19
2712,Impresora,9434170,0.19
818,Cargador inalámbrico,7141094,0.19
1897,Router inalámbrico,894163,0.19
1424,Robot aspirador,4773551,0.19
1797,Proyector,1650928,0.19
1765,Plancha de ropa con vapor,6506261,0.19
1672,Dron,9245520,0.19
428,Videocámara,9161916,0.19
1331,Linterna LED,1090707,0.19
1976,Proyector,3041798,0.19
2029,Robot aspirador,3035103,0.19
1885,Linterna LED,5830705,0.19
1004,Ratón óptico,6462594,0.19
2544,Monitor de computadora,3971655,0.19
1742,Kit de realidad virtual (VR),5291844,0.19
1499,Monitor de computadora,2327118,0.19
205,Disco duro externo,7176226,0.19
2129,Monitor de computadora,9345071,0.19
2902,Reproductor de DVD/Blu-ray,1980458,0.19
1023,Proyector,1489481,0.19
652,Kit de realidad virtual (VR),3795955,0.19
1372,Router inalámbrico,2536944,0.19
1639,Plancha de ropa con vapor,6773089,0.19
1970,Kit de realidad virtual (VR),1408734,0.19
2351,Sistema de sonido envolvente,818001,0.19
2284,Videocámara,5387812,0.19
1870,Plancha de ropa con vapor,2843038,0.19
1090,Televisor,8409059,0.19
2456,Plancha de ropa con vapor,7629114,0.19
148,Altavoces Bluetooth,4782604,0.19
2146,Monitor de computadora,5090740,0.19
2083,Router inalámbrico,4786642,0.19
1198,Proyector,1238874,0.19
1308,Linterna LED,1627790,0.19
1381,Impresora,2987394,0.19
1975,Tablet,7662573,0.19
434,Auriculares inalámbricos,3093624,0.19
661,Cargador inalámbrico,8755563,0.19
2096,Termostato inteligente,3261944,0.19
1436,Robot aspirador,7561363,0.19
1349,Kit de realidad virtual (VR),8292461,0.19
2531,Termostato inteligente,901579,0.19
631,Dron,5294712,0.19
1085,Batería externa,6456253,0.19
2330,Ratón óptico,6679345,0.19
1319,Smartphone,8595199,0.19
1726,Dron,9227634,0.19
176,Reproductor de DVD/Blu-ray,5215521,0.19
1459,Termostato inteligente,1620659,0.19
2879,Cámara digital,2049505,0.19
1918,Cargador inalámbrico,951197,0.19
483,Teclado mecánico,6860711,0.19
1961,Reloj inteligente para deportes,9869349,0.19
2443,Sistema de sonido envolvente,4683530,0.19
247,Impresora,5474139,0.19
842,Consola de videojuegos,1285058,0.19
2933,Monitor de computadora,8003531,0.19
2000,Cargador inalámbrico,5452064,0.19
2338,Laptop,700402,0.19
746,Reproductor de DVD/Blu-ray,1667637,0.19
2768,Router inalámbrico,1517771,0.19
393,Televisor,2624344,0.19
1287,Plancha de ropa con vapor,5520225,0.19
1567,Disco duro externo,5960081,0.19
2789,Altavoces Bluetooth,9049684,0.19
559,Router inalámbrico,7151508,0.19
1516,Linterna LED,8025776,0.19
1438,Batería externa,3748970,0.19
1523,Smartphone,9568548,0.19
725,Disco duro externo,2363834,0.19
2887,Reloj inteligente para deportes,3356747,0.19
2808,Teclado mecánico,5780360,0.19
2724,Proyector,7058906,0.19
2075,Impresora,8250338,0.19
2003,Máquina de afeitar eléctrica,3552849,0.19
1101,Televisor,3842680,0.19
30,Kit de realidad virtual (VR),1420642,0.19
991,Altavoces Bluetooth,2652763,0.19
1237,Reloj inteligente para deportes,7807650,0.19
1920,Tableta gráfica,7321475,0.19
2726,Ratón óptico,2084701,0.19
2756,Videocámara,6331934,0.19
1972,Kit de realidad virtual (VR),1203734,0.19
704,Tableta gráfica,5446403,0.19
1191,Máquina de afeitar eléctrica,2815054,0.19
1862,Tableta gráfica,1960182,0.19
2384,Linterna LED,1327234,0.19
911,Monitor de computadora,9304676,0.19
99,Smartphone,4415850,0.19
1092,Kit de realidad virtual (VR),9992577,0.19
1964,Smartphone,8863683,0.19
2033,Auriculares inalámbricos,1251145,0.19
2507,Smartwatch,8624885,0.19
232,Proyector,7550309,0.19
2570,Consola de videojuegos,3296711,0.19
1309,Auriculares inalámbricos,8629536,0.19
2268,Ratón óptico,5012127,0.19
2736,Televisor,9633767,0.19
1266,Router inalámbrico,9828982,0.19
1761,Monitor de computadora,5589831,0.19
488,Disco duro externo,7256457,0.19
2118,Termostato inteligente,7853800,0.19
1527,Altavoces Bluetooth,5916433,0.19
927,Auriculares inalámbricos,1505102,0.19
147,Proyector,6907941,0.19
1017,Tableta gráfica,7957034,0.19
2335,Teclado mecánico,8549243,0.19
2736,Smartwatch,9668768,0.19
1182,Proyector,9419949,0.19
1773,Router inalámbrico,1741824,0.19
1082,Termostato inteligente,845946,0.19
2038,Sistema de sonido envolvente,6934001,0.19
1267,Tableta gráfica,9202461,0.19
2823,Ratón óptico,8612263,0.19
2044,Linterna LED,5070860,0.19
1552,Videocámara,9068269,0.19
1014,Altavoces Bluetooth,9477904,0.19
305,Smartphone,2750351,0.19
1099,Videocámara,9829797,0.19
1565,Máquina de afeitar eléctrica,2428355,0.19
701,Videocámara,9703217,0.19
356,Cargador inalámbrico,5012335,0.19
906,Tablet,4947163,0.19
1787,Ratón óptico,6610113,0.19
2055,Auriculares inalámbricos,6522971,0.19
832,Auriculares inalámbricos,3591297,0.19
530,Smartwatch,6373517,0.19
1896,Monitor de computadora,4312707,0.19
1029,Proyector,6484755,0.19
301,Termostato inteligente,1096782,0.19
1341,Cargador inalámbrico,6422176,0.19
190,Laptop,4292214,0.19
2642,Ratón óptico,5950672,0.19
978,Robot aspirador,5248842,0.19
1955,Router inalámbrico,3568082,0.19
196,Proyector,6623799,0.19
696,Videocámara,8131097,0.19
1922,Teclado mecánico,3626964,0.19
682,Impresora,6349516,0.19
48,Disco duro externo,2773242,0.19
402,Proyector,9668780,0.19
2606,Tableta gráfica,9591880,0.19
2578,Smartwatch,3119553,0.19
723,Linterna LED,1996712,0.19
279,Proyector,5165780,0.19
2792,Smartphone,1311521,0.19
2842,Impresora,1251535,0.19
816,Disco duro externo,1917300,0.19
2023,Smartwatch,4336477,0.19
152,Dron,7414917,0.19
2872,Auriculares inalámbricos,9025608,0.19
1171,Reproductor de DVD/Blu-ray,8702649,0.19
1523,Ratón óptico,8635001,0.19
2850,Kit de realidad virtual (VR),6727265,0.19
563,Proyector,7596481,0.19
1924,Ratón óptico,821953,0.19
2210,Monitor de computadora,3977877,0.19
2753,Dron,4392835,0.19
2752,Televisor,6990717,0.19
995,Disco duro externo,3781798,0.19
2399,Disco duro externo,8125427,0.19
2883,Disco duro externo,2664039,0.19
1951,Monitor de computadora,8280054,0.19
2068,Router inalámbrico,1281667,0.19
2321,Cargador inalámbrico,1022698,0.19
1642,Linterna LED,2075850,0.19
949,Impresora,6745237,0.19
1224,Disco duro externo,8929704,0.19
806,Máquina de afeitar eléctrica,8789717,0.19
2573,Termostato inteligente,6644622,0.19
2268,Reproductor de DVD/Blu-ray,5982474,0.19
6,Reloj inteligente para deportes,8778856,0.19
2279,Termostato inteligente,3098572,0.19
1066,Router inalámbrico,4356910,0.19
356,Videocámara,6607943,0.19
1603,Reloj inteligente para deportes,6149707,0.19
886,Linterna LED,5621967,0.19
1442,Videocámara,3654798,0.19
1611,Consola de videojuegos,6113553,0.19
181,Router inalámbrico,8334803,0.19
1254,Router inalámbrico,6127908,0.19
1083,Smartphone,1271773,0.19
1042,Teclado mecánico,4890661,0.19
1010,Tableta gráfica,1646571,0.19
558,Sistema de sonido envolvente,1930446,0.19
2127,Batería externa,5559785,0.19
2350,Termostato inteligente,2697021,0.19
1995,Impresora,9872654,0.19
1021,Smartphone,798105,0.19
2170,Tablet,1549135,0.19
1478,Reloj inteligente para deportes,3170605,0.19
533,Plancha de ropa con vapor,5683515,0.19
1626,Televisor,6388991,0.19
1182,Kit de realidad virtual (VR),1285409,0.19
899,Disco duro externo,5870935,0.19
2198,Plancha de ropa con vapor,3613597,0.19
953,Dron,4561500,0.19
271,Laptop,2595370,0.19
1101,Linterna LED,3261829,0.19
2829,Sistema de sonido envolvente,4569591,0.19
702,Kit de realidad virtual (VR),3408044,0.19
2306,Dron,4270810,0.19
751,Televisor,7939869,0.19
2640,Proyector,4716206,0.19
2322,Reproductor de DVD/Blu-ray,9383492,0.19
2115,Sistema de sonido envolvente,7778586,0.19
1607,Impresora,3384176,0.19
1282,Auriculares inalámbricos,8935515,0.19
2564,Plancha de ropa con vapor,7076417,0.19
1528,Tablet,3567863,0.19
2044,Reloj inteligente para deportes,5277701,0.19
1429,Sistema de sonido envolvente,3531779,0.19
415,Reproductor de DVD/Blu-ray,2605003,0.19
2402,Máquina de afeitar eléctrica,3690121,0.19
785,Teclado mecánico,5649698,0.19
2960,Batería externa,9147630,0.19
2448,Tableta gráfica,3489564,0.19
913,Consola de videojuegos,9279641,0.19
1299,Linterna LED,1479282,0.19
623,Altavoces Bluetooth,7186456,0.19
405,Dron,8273657,0.19
1701,Videocámara,7670567,0.19
2844,Smartwatch,7784494,0.19
2131,Router inalámbrico,9606774,0.19
1534,Kit de realidad virtual (VR),629486,0.19
0,Tablet,6223892,0.19
1470,Altavoces Bluetooth,4554899,0.19
2181,Kit de realidad virtual (VR),3749346,0.19
23,Reloj inteligente para deportes,3012610,0.19
2140,Sistema de sonido envolvente,7834476,0.19
2726,Videocámara,7881405,0.19
2729,Router inalámbrico,2558480,0.19
492,Smartphone,1727435,0.19
1074,Termostato inteligente,8185253,0.19
2966,Televisor,1547215,0.19
599,Sistema de sonido envolvente,3772856,0.19
787,Batería externa,1517169,0.19
1225,Linterna LED,8780014,0.19
2429,Batería externa,8025244,0.19
1786,Reloj inteligente para deportes,8719348,0.19
1495,Robot aspirador,7509685,0.19
1107,Proyector,7608651,0.19
1364,Reloj inteligente para deportes,9832779,0.19
336,Proyector,9189711,0.19
1100,Máquina de afeitar eléctrica,995000,0.19
1598,Smartphone,4740060,0.19
1216,Router inalámbrico,7849501,0.19
502,Smartwatch,9168769,0.19
955,Laptop,3692834,0.19
2197,Cargador inalámbrico,6076668,0.19
1667,Sistema de sonido envolvente,7816865,0.19
65,Kit de realidad virtual (VR),5387742,0.19
699,Laptop,2955315,0.19
2800,Smartwatch,2541836,0.19
2108,Proyector,3386019,0.19
1106,Sistema de sonido envolvente,7092617,0.19
1917,Termostato inteligente,1611679,0.19
1104,Linterna LED,5963186,0.19
828,Dron,1054072,0.19
961,Máquina de afeitar eléctrica,766577,0.19
772,Monitor de computadora,3010640,0.19
749,Kit de realidad virtual (VR),6162299,0.19
368,Sistema de sonido envolvente,9208067,0.19
2372,Linterna LED,9334677,0.19
2205,Máquina de afeitar eléctrica,7723045,0.19
1568,Router inalámbrico,4907540,0.19
647,Cámara digital,683805,0.19
1726,Router inalámbrico,8615401,0.19
2660,Videocámara,9455923,0.19
574,Videocámara,3769549,0.19
1534,Teclado mecánico,3238990,0.19
1556,Disco duro externo,4308885,0.19
1810,Impresora,7382582,0.19
2154,Máquina de afeitar eléctrica,8906282,0.19
826,Disco duro externo,7018090,0.19
2450,Monitor de computadora,8719284,0.19
2913,Altavoces Bluetooth,8174505,0.19
599,Termostato inteligente,5124096,0.19
609,Altavoces Bluetooth,5688495,0.19
645,Batería externa,2600176,0.19
922,Reloj inteligente para deportes,8674852,0.19
2381,Reproductor de DVD/Blu-ray,3758508,0.19
2993,Linterna LED,5528098,0.19
1100,Dron,5460617,0.19
2722,Robot aspirador,2750204,0.19
2975,Smartwatch,8342734,0.19
2682,Linterna LED,7404688,0.19
1100,Videocámara,7444736,0.19
2494,Router inalámbrico,9378372,0.19
2198,Ratón óptico,6189445,0.19
1642,Batería externa,8763780,0.19
1433,Consola de videojuegos,8006078,0.19
681,Router inalámbrico,3600285,0.19
1692,Tableta gráfica,7211429,0.19
1668,Sistema de sonido envolvente,2115402,0.19
961,Dron,3436155,0.19
2856,Cámara digital,8677341,0.19
400,Reloj inteligente para deportes,7410349,0.19
263,Router inalámbrico,8562479,0.19
786,Disco duro externo,2609438,0.19
836,Cargador inalámbrico,4540199,0.19
934,Cámara digital,2089490,0.19
724,Linterna LED,7490401,0.19
1530,Tablet,7456063,0.19
2536,Kit de realidad virtual (VR),8224986,0.19
1291,Tableta gráfica,2579448,0.19
959,Laptop,5458425,0.19
619,Impresora,2795780,0.19
446,Proyector,8794544,0.19
2414,Consola de videojuegos,2013132,0.19
435,Ratón óptico,6867340,0.19
2026,Linterna LED,5058626,0.19
540,Consola de videojuegos,9808949,0.19
2327,Dron,7437004,0.19
2836,Reloj inteligente para deportes,6046757,0.19
782,Altavoces Bluetooth,2497005,0.19
1215,Televisor,8637867,0.19
837,Monitor de computadora,5790843,0.19
2738,Sistema de sonido envolvente,8457356,0.19
2596,Reloj inteligente para deportes,5432565,0.19
1489,Disco duro externo,6049753,0.19
1955,Robot aspirador,5052934,0.19
2684,Router inalámbrico,2886754,0.19
871,Disco duro externo,1194700,0.19
522,Teclado mecánico,5598046,0.19
2702,Reproductor de DVD/Blu-ray,5162732,0.19
2622,Kit de realidad virtual (VR),6723240,0.19
2551,Laptop,5591375,0.19
2689,Auriculares inalámbricos,3891485,0.19
2236,Máquina de afeitar eléctrica,1816476,0.19
2634,Batería externa,5128051,0.19
1559,Reproductor de DVD/Blu-ray,4011392,0.19
1551,Router inalámbrico,2371649,0.19
1504,Máquina de afeitar eléctrica,5623361,0.19
748,Robot aspirador,1476841,0.19
281,Router inalámbrico,7534271,0.19
104,Laptop,1769731,0.19
2669,Dron,8897342,0.19
1970,Batería externa,5474282,0.19
2096,Reproductor de DVD/Blu-ray,8636120,0.19
1809,Consola de videojuegos,6875269,0.19
2853,Auriculares inalámbricos,4139947,0.19
105,Dron,4233637,0.19
2855,Termostato inteligente,3048205,0.19
2976,Smartwatch,6199532,0.19
2010,Linterna LED,7888774,0.19
2474,Router inalámbrico,2855511,0.19
111,Monitor de computadora,6407171,0.19
2332,Tableta gráfica,4556590,0.19
1961,Sistema de sonido envolvente,1006119,0.19
1921,Consola de videojuegos,6484352,0.19
255,Smartwatch,1774069,0.19
172,Tableta gráfica,6206854,0.19
76,Cámara digital,3826219,0.19
1215,Smartphone,2348627,0.19
1019,Tableta gráfica,3873524,0.19
62,Sistema de sonido envolvente,4113218,0.19
1874,Tablet,7267524,0.19
2955,Reloj inteligente para deportes,501522,0.19
2743,Cargador inalámbrico,5706996,0.19
172,Impresora,1702187,0.19
2694,Reproductor de DVD/Blu-ray,8315534,0.19
850,Linterna LED,6207836,0.19
1995,Impresora,3190693,0.19
2321,Ratón óptico,7204429,0.19
1808,Monitor de computadora,2833333,0.19
2517,Teclado mecánico,6854478,0.19
2485,Cámara digital,3485586,0.19
2140,Reproductor de DVD/Blu-ray,6694177,0.19
129,Teclado mecánico,6446448,0.19
2516,Sistema de sonido envolvente,9171950,0.19
1734,Monitor de computadora,876469,0.19
843,Videocámara,7044855,0.19
1636,Monitor de computadora,2645868,0.19
1639,Tablet,2494066,0.19
2617,Teclado mecánico,6850689,0.19
1666,Sistema de sonido envolvente,2443131,0.19
1520,Televisor,3975031,0.19
2725,Kit de realidad virtual (VR),8791751,0.19
1588,Plancha de ropa con vapor,1656346,0.19
135,Linterna LED,5375069,0.19
1493,Teclado mecánico,4424925,0.19
2123,Laptop,9002338,0.19
1383,Proyector,6784337,0.19
1611,Consola de videojuegos,6470105,0.19
417,Reloj inteligente para deportes,4208868,0.19
149,Impresora,3961076,0.19
2652,Monitor de computadora,1156880,0.19
2952,Kit de realidad virtual (VR),6584744,0.19
2761,Linterna LED,9650872,0.19
2496,Auriculares inalámbricos,3983232,0.19
2564,Máquina de afeitar eléctrica,1941691,0.19
2727,Auriculares inalámbricos,1097816,0.19
492,Máquina de afeitar eléctrica,1421729,0.19
2806,Tableta gráfica,8442438,0.19
1019,Televisor,8314385,0.19
2197,Monitor de computadora,8975920,0.19
404,Linterna LED,721183,0.19
639,Máquina de afeitar eléctrica,8841370,0.19
1866,Plancha de ropa con vapor,8154276,0.19
403,Máquina de afeitar eléctrica,6660737,0.19
310,Altavoces Bluetooth,1947664,0.19
2460,Linterna LED,5194208,0.19
1095,Plancha de ropa con vapor,6987188,0.19
2588,Reloj inteligente para deportes,5215418,0.19
2153,Monitor de computadora,4603090,0.19
2796,Auriculares inalámbricos,3745570,0.19
2821,Sistema de sonido envolvente,2677332,0.19
346,Plancha de ropa con vapor,7289913,0.19
1581,Tablet,2729763,0.19
1125,Kit de realidad virtual (VR),8900759,0.19
445,Televisor,9896554,0.19
2252,Batería externa,7578186,0.19
797,Cargador inalámbrico,8760373,0.19
1424,Router inalámbrico,6529505,0.19
407,Consola de videojuegos,5635251,0.19
1075,Ratón óptico,6222414,0.19
2814,Termostato inteligente,6250020,0.19
930,Tablet,8839510,0.19
1980,Termostato inteligente,5795503,0.19
2793,Tablet,3793468,0.19
2559,Máquina de afeitar eléctrica,5864856,0.19
2847,Disco duro externo,6125490,0.19
892,Smartwatch,4689058,0.19
1785,Batería externa,2807573,0.19
1253,Monitor de computadora,3447917,0.19
306,Smartphone,4607315,0.19
1237,Robot aspirador,1128830,0.19
418,Máquina de afeitar eléctrica,8151029,0.19
522,Plancha de ropa con vapor,4269242,0.19
158,Robot aspirador,1054567,0.19
2484,Batería externa,784288,0.19
1477,Sistema de sonido envolvente,6924019,0.19
2732,Laptop,1740757,0.19
17,Monitor de computadora,3555732,0.19
1797,Máquina de afeitar eléctrica,2294610,0.19
2860,Ratón óptico,3103076,0.19
249,Ratón óptico,1807427,0.19
2971,Sistema de sonido envolvente,8360845,0.19
2400,Disco duro externo,636342,0.19
1531,Altavoces Bluetooth,6210448,0.19
1065,Videocámara,1972111,0.19
850,Monitor de computadora,8527098,0.19
370,Televisor,7069477,0.19
2134,Proyector,7483803,0.19
2638,Consola de videojuegos,9621378,0.19
1963,Disco duro externo,1683125,0.19
35,Tablet,7966708,0.19
2169,Proyector,5837840,0.19
1087,Smartphone,2682755,0.19
571,Altavoces Bluetooth,5891663,0.19
52,Tableta gráfica,8111038,0.19
540,Reloj inteligente para deportes,1695052,0.19
1739,Cámara digital,4223887,0.19
2756,Reproductor de DVD/Blu-ray,4701955,0.19
1554,Termostato inteligente,2439842,0.19
1337,Termostato inteligente,7607697,0.19
915,Consola de videojuegos,5094999,0.19
1477,Dron,4007471,0.19
2887,Router inalámbrico,595308,0.19
2564,Smartphone,6937027,0.19
1502,Ratón óptico,5357086,0.19
2868,Sistema de sonido envolvente,4360917,0.19
1549,Reproductor de DVD/Blu-ray,2051938,0.19
2902,Ratón óptico,3949148,0.19
1826,Dron,6500545,0.19
1952,Disco duro externo,8236500,0.19
1418,Ratón óptico,1963938,0.19
1466,Kit de realidad virtual (VR),8124356,0.19
2553,Cargador inalámbrico,1851800,0.19
1334,Teclado mecánico,1522872,0.19
1007,Dron,3470882,0.19
608,Impresora,1367758,0.19
697,Batería externa,807374,0.19
1829,Teclado mecánico,4522227,0.19
2311,Kit de realidad virtual (VR),5586048,0.19
1293,Sistema de sonido envolvente,7117911,0.19
305,Reproductor de DVD/Blu-ray,8814474,0.19
2289,Cámara digital,852839,0.19
2964,Ratón óptico,2790678,0.19
212,Tablet,3837550,0.19
2211,Tableta gráfica,5729480,0.19
739,Reproductor de DVD/Blu-ray,9017097,0.19
2295,Linterna LED,2840260,0.19
2976,Robot aspirador,2150277,0.19
2375,Laptop,9045313,0.19
282,Proyector,3524588,0.19
667,Dron,5087072,0.19
195,Router inalámbrico,5535066,0.19
2969,Tablet,3533691,0.19
1640,Tableta gráfica,3806042,0.19
2246,Ratón óptico,778392,0.19
2408,Tableta gráfica,5147034,0.19
429,Router inalámbrico,8804704,0.19
1864,Tablet,4856691,0.19
1443,Robot aspirador,8059584,0.19
1854,Router inalámbrico,9586224,0.19
219,Smartphone,2406227,0.19
419,Monitor de computadora,5649888,0.19
1572,Smartwatch,3267600,0.19
2584,Disco duro externo,2738213,0.19
2914,Teclado mecánico,9378909,0.19
726,Robot aspirador,9162728,0.19
513,Máquina de afeitar eléctrica,5578344,0.19
2865,Tablet,7196497,0.19
1295,Máquina de afeitar eléctrica,9253238,0.19
2823,Disco duro externo,4309720,0.19
2760,Plancha de ropa con vapor,3758069,0.19
2596,Dron,2038717,0.19
2395,Consola de videojuegos,9244822,0.19
640,Batería externa,7691658,0.19
2077,Batería externa,9264045,0.19
2410,Dron,3392112,0.19
316,Consola de videojuegos,4613017,0.19
2239,Smartwatch,7759971,0.19
1500,Teclado mecánico,9689954,0.19
1212,Teclado mecánico,1719561,0.19
394,Dron,3220959,0.19
1017,Kit de realidad virtual (VR),8900315,0.19
223,Plancha de ropa con vapor,1590551,0.19
2914,Batería externa,9712887,0.19
1577,Monitor de computadora,7258316,0.19
658,Termostato inteligente,5056410,0.19
15,Teclado mecánico,2408784,0.19
1635,Batería externa,3148759,0.19
174,Proyector,7868804,0.19
2736,Smartphone,1318091,0.19
254,Linterna LED,8397203,0.19
2329,Disco duro externo,5046164,0.19
2535,Tableta gráfica,2484969,0.19
140,Impresora,7703430,0.19
2110,Proyector,9673217,0.19
2603,Dron,7962848,0.19
1357,Monitor de computadora,6490262,0.19
1079,Videocámara,6166557,0.19
2510,Sistema de sonido envolvente,803714,0.19
80,Smartphone,3039061,0.19
2975,Kit de realidad virtual (VR),1494691,0.19
86,Kit de realidad virtual (VR),1566614,0.19
753,Kit de realidad virtual (VR),5398151,0.19
1915,Dron,8510479,0.19
974,Impresora,2853232,0.19
985,Smartphone,3967014,0.19
1462,Impresora,7195717,0.19
2475,Cargador inalámbrico,8727441,0.19
1302,Cámara digital,5680834,0.19
2471,Consola de videojuegos,971639,0.19
1102,Sistema de sonido envolvente,1694453,0.19
2927,Auriculares inalámbricos,3302790,0.19
998,Impresora,8207966,0.19
139,Dron,8243923,0.19
2035,Auriculares inalámbricos,8038548,0.19
902,Máquina de afeitar eléctrica,8542820,0.19
244,Monitor de computadora,8415618,0.19
1963,Plancha de ropa con vapor,4822534,0.19
524,Consola de videojuegos,8240916,0.19
1704,Máquina de afeitar eléctrica,8521029,0.19
1913,Reproductor de DVD/Blu-ray,1944132,0.19
1301,Impresora,2304288,0.19
1713,Cargador inalámbrico,4527282,0.19
2421,Kit de realidad virtual (VR),4558796,0.19
2774,Auriculares inalámbricos,7165098,0.19
61,Proyector,2497974,0.19
1837,Ratón óptico,4209934,0.19
1298,Sistema de sonido envolvente,8014031,0.19
1264,Smartwatch,8808778,0.19
1346,Router inalámbrico,4876703,0.19
2026,Altavoces Bluetooth,8798849,0.19
2646,Altavoces Bluetooth,1303097,0.19
1452,Tableta gráfica,5780605,0.19
867,Videocámara,9252278,0.19
1070,Teclado mecánico,8225582,0.19
397,Altavoces Bluetooth,9799780,0.19
1434,Robot aspirador,5833608,0.19
1726,Reproductor de DVD/Blu-ray,5413295,0.19
1950,Cámara digital,6233000,0.19
2253,Videocámara,3587618,0.19
1949,Televisor,7853536,0.19
2754,Smartphone,3556420,0.19
85,Auriculares inalámbricos,2143482,0.19
2620,Laptop,2508718,0.19
1571,Máquina de afeitar eléctrica,4588241,0.19
621,Videocámara,1298288,0.19
1816,Termostato inteligente,1470172,0.19
1054,Máquina de afeitar eléctrica,7310946,0.19
1292,Cámara digital,4630997,0.19
602,Cargador inalámbrico,9787726,0.19
419,Cargador inalámbrico,707467,0.19
752,Tablet,745052,0.19
1784,Teclado mecánico,6710319,0.19
2838,Ratón óptico,9211061,0.19
673,Disco duro externo,4932689,0.19
200,Teclado mecánico,1868288,0.19
880,Monitor de computadora,697448,0.19
1401,Ratón óptico,7910053,0.19
2784,Cargador inalámbrico,1541660,0.19
875,Altavoces Bluetooth,5008534,0.19
846,Router inalámbrico,2000123,0.19
2455,Teclado mecánico,6386459,0.19
1680,Kit de realidad virtual (VR),894880,0.19
550,Kit de realidad virtual (VR),6174978,0.19
407,Termostato inteligente,1214406,0.19
138,Televisor,5897255,0.19
1559,Router inalámbrico,888929,0.19
579,Batería externa,9027803,0.19
1974,Kit de realidad virtual (VR),4169176,0.19
1033,Tablet,5706099,0.19
1914,Televisor,4497806,0.19
8,Impresora,8558750,0.19
2737,Linterna LED,6681348,0.19
1252,Router inalámbrico,4617048,0.19
1347,Batería externa,3317467,0.19
1553,Termostato inteligente,523783,0.19
340,Smartwatch,7511438,0.19
1975,Auriculares inalámbricos,4579110,0.19
1231,Linterna LED,6908229,0.19
1952,Disco duro externo,3414474,0.19
1171,Tablet,4433830,0.19
2553,Consola de videojuegos,1841482,0.19
